w_conf,level,method,quartile,n,accuracy,verification_share
0.0,L0,confidence,Q1_low,1500,0.94,0.206
0.0,L0,confidence,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L0,confidence,Q3,1500,0.6826666666666666,0.192
0.0,L0,confidence,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L0,intuition,Q1_low,1500,0.94,0.20533333333333334
0.0,L0,intuition,Q2,1500,0.8113333333333334,0.192
0.0,L0,intuition,Q3,1500,0.6833333333333333,0.19533333333333333
0.0,L0,intuition,Q4_high,1500,0.4846666666666667,0.20733333333333334
0.0,L1,confidence,Q1_low,1500,0.94,0.206
0.0,L1,confidence,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L1,confidence,Q3,1500,0.6826666666666666,0.192
0.0,L1,confidence,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L1,intuition,Q1_low,1500,0.94,0.206
0.0,L1,intuition,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L1,intuition,Q3,1500,0.6826666666666666,0.192
0.0,L1,intuition,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L2,confidence,Q1_low,1500,0.94,0.206
0.0,L2,confidence,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L2,confidence,Q3,1500,0.6826666666666666,0.192
0.0,L2,confidence,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L2,intuition,Q1_low,1500,0.9233333333333333,0.074
0.0,L2,intuition,Q2,1500,0.804,0.14666666666666667
0.0,L2,intuition,Q3,1500,0.6966666666666667,0.19666666666666666
0.0,L2,intuition,Q4_high,1500,0.6006666666666667,0.38266666666666665
0.0,L3,confidence,Q1_low,1500,0.94,0.206
0.0,L3,confidence,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L3,confidence,Q3,1500,0.6826666666666666,0.192
0.0,L3,confidence,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L3,intuition,Q1_low,1500,0.9206666666666666,0.014
0.0,L3,intuition,Q2,1500,0.7913333333333333,0.07533333333333334
0.0,L3,intuition,Q3,1500,0.7013333333333334,0.20866666666666667
0.0,L3,intuition,Q4_high,1500,0.6813333333333333,0.502
0.0,L4,confidence,Q1_low,1500,0.94,0.206
0.0,L4,confidence,Q2,1500,0.8106666666666666,0.19066666666666668
0.0,L4,confidence,Q3,1500,0.6826666666666666,0.192
0.0,L4,confidence,Q4_high,1500,0.48533333333333334,0.21133333333333335
0.0,L4,intuition,Q1_low,1500,0.9186666666666666,0.0
0.0,L4,intuition,Q2,1500,0.7733333333333333,0.007333333333333333
0.0,L4,intuition,Q3,1500,0.6653333333333333,0.14
0.0,L4,intuition,Q4_high,1500,0.7946666666666666,0.6526666666666666
0.5,L0,confidence,Q1_low,1500,0.938,0.202
0.5,L0,confidence,Q2,1500,0.84,0.18533333333333332
0.5,L0,confidence,Q3,1500,0.7146666666666667,0.20866666666666667
0.5,L0,confidence,Q4_high,1500,0.498,0.204
0.5,L0,intuition,Q1_low,1500,0.938,0.20266666666666666
0.5,L0,intuition,Q2,1500,0.84,0.18466666666666667
0.5,L0,intuition,Q3,1500,0.7133333333333334,0.208
0.5,L0,intuition,Q4_high,1500,0.49866666666666665,0.20466666666666666
0.5,L1,confidence,Q1_low,1500,0.938,0.202
0.5,L1,confidence,Q2,1500,0.84,0.18533333333333332
0.5,L1,confidence,Q3,1500,0.7146666666666667,0.20866666666666667
0.5,L1,confidence,Q4_high,1500,0.498,0.204
0.5,L1,intuition,Q1_low,1500,0.938,0.202
0.5,L1,intuition,Q2,1500,0.84,0.18533333333333332
0.5,L1,intuition,Q3,1500,0.7146666666666667,0.20866666666666667
0.5,L1,intuition,Q4_high,1500,0.498,0.204
0.5,L2,confidence,Q1_low,1500,0.938,0.202
0.5,L2,confidence,Q2,1500,0.84,0.18533333333333332
0.5,L2,confidence,Q3,1500,0.7146666666666667,0.20866666666666667
0.5,L2,confidence,Q4_high,1500,0.498,0.204
0.5,L2,intuition,Q1_low,1500,0.9246666666666666,0.112
0.5,L2,intuition,Q2,1500,0.8233333333333334,0.15133333333333332
0.5,L2,intuition,Q3,1500,0.7226666666666667,0.23866666666666667
0.5,L2,intuition,Q4_high,1500,0.568,0.298
0.5,L3,confidence,Q1_low,1500,0.938,0.202
0.5,L3,confidence,Q2,1500,0.84,0.18533333333333332
0.5,L3,confidence,Q3,1500,0.7146666666666667,0.20866666666666667
