split,w_conf,b0,level,fast_error_rate,confidence_accuracy,intuition_accuracy,delta_pp,ci95_low_pp,ci95_high_pp,significant
ID,0.0,-0.9,L0,0.3398333333333333,0.7296666666666667,0.7306666666666667,0.1,-0.25041666666666657,0.46666666666666673,False
OOD,0.0,-0.9,L0,0.3348333333333333,0.7353333333333333,0.7353333333333333,0.0,-0.3833333333333333,0.4,False
ID,0.0,-0.9,L1,0.3398333333333333,0.7296666666666667,0.7296666666666667,0.0,0.0,0.0,False
OOD,0.0,-0.9,L1,0.3348333333333333,0.7353333333333333,0.7353333333333333,0.0,0.0,0.0,False
ID,0.0,-0.9,L2,0.3398333333333333,0.7296666666666667,0.7545,2.4833333333333334,1.6,3.3333333333333335,True
OOD,0.0,-0.9,L2,0.3348333333333333,0.7353333333333333,0.7608333333333334,2.55,1.6666666666666667,3.3833333333333333,True
ID,0.0,-0.9,L3,0.3398333333333333,0.7296666666666667,0.774,4.433333333333334,3.5166666666666666,5.333333333333334,True
OOD,0.0,-0.9,L3,0.3348333333333333,0.7353333333333333,0.78,4.466666666666667,3.5829166666666667,5.366666666666667,True
ID,0.0,-0.9,L4,0.3398333333333333,0.7296666666666667,0.7911666666666667,6.15,5.233333333333333,7.116666666666667,True
OOD,0.0,-0.9,L4,0.3348333333333333,0.7353333333333333,0.7933333333333333,5.800000000000001,4.866666666666666,6.75,True
ID,0.5,-0.9303242606912969,L0,0.33616666666666667,0.7516666666666667,0.7516666666666667,0.0,-0.05,0.05,False
OOD,0.5,-0.9303242606912969,L0,0.3258333333333333,0.7606666666666667,0.7606666666666667,0.0,0.0,0.0,False
ID,0.5,-0.9303242606912969,L1,0.33616666666666667,0.7516666666666667,0.7516666666666667,0.0,0.0,0.0,False
OOD,0.5,-0.9303242606912969,L1,0.3258333333333333,0.7606666666666667,0.7606666666666667,0.0,0.0,0.0,False
ID,0.5,-0.9303242606912969,L2,0.33616666666666667,0.7516666666666667,0.7656666666666667,1.4000000000000001,0.6666666666666667,2.1333333333333333,True
OOD,0.5,-0.9303242606912969,L2,0.3258333333333333,0.7606666666666667,0.7751666666666667,1.4500000000000002,0.7666666666666666,2.15,True
ID,0.5,-0.9303242606912969,L3,0.33616666666666667,0.7516666666666667,0.7841666666666667,3.25,2.4495833333333334,4.0670833333333265,True
OOD,0.5,-0.9303242606912969,L3,0.3258333333333333,0.7606666666666667,0.7963333333333333,3.5666666666666664,2.7495833333333333,4.416666666666667,True
ID,0.5,-0.9303242606912969,L4,0.33616666666666667,0.7516666666666667,0.7978333333333333,4.616666666666667,3.7662500000000003,5.5,True
OOD,0.5,-0.9303242606912969,L4,0.3258333333333333,0.7606666666666667,0.808,4.733333333333333,3.8666666666666667,5.600416666666661,True
ID,1.1,-1.051704488725501,L0,0.33716666666666667,0.7746666666666666,0.7746666666666666,0.0,-0.11666666666666668,0.11666666666666668,False
OOD,1.1,-1.051704488725501,L0,0.33166666666666667,0.775,0.7748333333333334,-0.016666666666666666,-0.11666666666666668,0.08333333333333334,False
ID,1.1,-1.051704488725501,L1,0.33716666666666667,0.7746666666666666,0.7746666666666666,0.0,0.0,0.0,False
OOD,1.1,-1.051704488725501,L1,0.33166666666666667,0.775,0.775,0.0,0.0,0.0,False
ID,1.1,-1.051704488725501,L2,0.33716666666666667,0.7746666666666666,0.7831666666666667,0.8500000000000001,0.23333333333333336,1.4833333333333334,True
OOD,1.1,-1.051704488725501,L2,0.33166666666666667,0.775,0.789,1.4000000000000001,0.8329166666666669,2.0,True
ID,1.1,-1.051704488725501,L3,0.33716666666666667,0.7746666666666666,0.7953333333333333,2.0666666666666664,1.3166666666666667,2.8166666666666664,True
OOD,1.1,-1.051704488725501,L3,0.33166666666666667,0.775,0.8013333333333333,2.6333333333333333,1.8833333333333333,3.35,True
ID,1.1,-1.051704488725501,L4,0.33716666666666667,0.7746666666666666,0.808,3.3333333333333335,2.5166666666666666,4.166666666666666,True
OOD,1.1,-1.051704488725501,L4,0.33166666666666667,0.775,0.8095,3.45,2.65,4.266666666666667,True
ID,2.0,-1.3723605364896052,L0,0.3368333333333333,0.7928333333333333,0.7933333333333333,0.05,-0.03333333333333333,0.13333333333333333,False
OOD,2.0,-1.3723605364896052,L0,0.33266666666666667,0.8001666666666667,0.8008333333333333,0.06666666666666667,0.0,0.15,False
ID,2.0,-1.3723605364896052,L1,0.3368333333333333,0.7928333333333333,0.7928333333333333,0.0,0.0,0.0,False
OOD,2.0,-1.3723605364896052,L1,0.33266666666666667,0.8001666666666667,0.8001666666666667,0.0,0.0,0.0,False
ID,2.0,-1.3723605364896052,L2,0.3368333333333333,0.7928333333333333,0.7983333333333333,0.5499999999999999,0.05,1.0666666666666667,True
OOD,2.0,-1.3723605364896052,L2,0.33266666666666667,0.8001666666666667,0.8038333333333333,0.36666666666666664,-0.13333333333333333,0.8833333333333334,False
ID,2.0,-1.3723605364896052,L3,0.3368333333333333,0.7928333333333333,0.809,1.6166666666666667,0.95,2.283333333333333,True
OOD,2.0,-1.3723605364896052,L3,0.33266666666666667,0.8001666666666667,0.8186666666666667,1.8499999999999999,1.1833333333333333,2.483749999999994,True
ID,2.0,-1.3723605364896052,L4,0.3368333333333333,0.7928333333333333,0.816,2.3166666666666664,1.5666666666666667,3.033333333333333,True
OOD,2.0,-1.3723605364896052,L4,0.33266666666666667,0.8001666666666667,0.8251666666666667,2.5,1.7666666666666668,3.2333333333333334,True
