split,w_conf,level,budget,n,observed_delta_pp,ci95_low_pp,ci95_high_pp,significant,bootstrap_resamples
ID,0.0,L0,0.2,6000,0.016666666666666666,-0.33333333333333337,0.36666666666666664,False,5000
OOD,0.0,L0,0.2,6000,-0.05,-0.44999999999999996,0.33333333333333337,False,5000
ID,0.0,L1,0.2,6000,0.0,0.0,0.0,False,5000
OOD,0.0,L1,0.2,6000,0.0,0.0,0.0,False,5000
ID,0.0,L2,0.2,6000,2.65,1.7500000000000002,3.5333333333333337,True,5000
OOD,0.0,L2,0.2,6000,2.3833333333333333,1.5333333333333332,3.2333333333333334,True,5000
ID,0.0,L3,0.2,6000,4.3999999999999995,3.4833333333333334,5.316666666666666,True,5000
OOD,0.0,L3,0.2,6000,4.583333333333333,3.65,5.483333333333333,True,5000
ID,0.0,L4,0.2,6000,5.833333333333333,4.9,6.800000000000001,True,5000
OOD,0.0,L4,0.2,6000,6.0,5.083333333333333,6.950000000000001,True,5000
ID,0.5,L0,0.2,6000,-0.016666666666666666,-0.08333333333333334,0.03333333333333333,False,5000
OOD,0.5,L0,0.2,6000,-0.016666666666666666,-0.08333333333333334,0.03333333333333333,False,5000
ID,0.5,L1,0.2,6000,0.0,0.0,0.0,False,5000
OOD,0.5,L1,0.2,6000,0.0,0.0,0.0,False,5000
ID,0.5,L2,0.2,6000,1.2,0.5166666666666666,1.9,True,5000
OOD,0.5,L2,0.2,6000,1.55,0.8500000000000001,2.2666666666666666,True,5000
ID,0.5,L3,0.2,6000,3.4333333333333336,2.6166666666666667,4.233333333333333,True,5000
OOD,0.5,L3,0.2,6000,2.7833333333333337,1.9666666666666666,3.5833333333333335,True,5000
ID,0.5,L4,0.2,6000,4.35,3.5166666666666666,5.183749999999994,True,5000
OOD,0.5,L4,0.2,6000,4.683333333333333,3.8495833333333334,5.566666666666667,True,5000
ID,1.1,L0,0.2,6000,0.016666666666666666,-0.11666666666666668,0.15,False,5000
OOD,1.1,L0,0.2,6000,-0.016666666666666666,-0.13333333333333333,0.1,False,5000
ID,1.1,L1,0.2,6000,0.0,0.0,0.0,False,5000
OOD,1.1,L1,0.2,6000,0.0,0.0,0.0,False,5000
ID,1.1,L2,0.2,6000,0.8833333333333334,0.21666666666666665,1.5333333333333332,True,5000
OOD,1.1,L2,0.2,6000,1.05,0.4166666666666667,1.6666666666666667,True,5000
ID,1.1,L3,0.2,6000,1.9833333333333334,1.2166666666666666,2.7337499999999944,True,5000
OOD,1.1,L3,0.2,6000,2.533333333333333,1.7500000000000002,3.266666666666666,True,5000
ID,1.1,L4,0.2,6000,3.266666666666666,2.45,4.1000000000000005,True,5000
OOD,1.1,L4,0.2,6000,3.716666666666667,2.8666666666666667,4.55,True,5000
ID,2.0,L0,0.2,6000,-0.03333333333333333,-0.15,0.08333333333333334,False,5000
OOD,2.0,L0,0.2,6000,0.05,-0.06666666666666667,0.18333333333333332,False,5000
ID,2.0,L1,0.2,6000,0.0,0.0,0.0,False,5000
OOD,2.0,L1,0.2,6000,0.0,0.0,0.0,False,5000
ID,2.0,L2,0.2,6000,0.46666666666666673,-0.06666666666666667,1.0333333333333332,False,5000
OOD,2.0,L2,0.2,6000,0.5666666666666667,0.03333333333333333,1.1004166666666604,True,5000
ID,2.0,L3,0.2,6000,1.3833333333333333,0.6666666666666667,2.1,True,5000
OOD,2.0,L3,0.2,6000,1.35,0.6333333333333333,2.0500000000000003,True,5000
ID,2.0,L4,0.2,6000,2.3333333333333335,1.5333333333333332,3.1166666666666667,True,5000
OOD,2.0,L4,0.2,6000,2.166666666666667,1.3833333333333333,2.966666666666667,True,5000
