generator,seed,w_conf,acc_B1,acc_B2_temp,acc_B2_iso,flip_rate
linear,1,0.0,0.7403333333333333,0.7351666666666666,0.732,0.33766666666666667
linear,1,0.2,0.7485,0.7485,0.7473333333333333,0.33716666666666667
linear,1,0.4,0.7565,0.7565,0.7566666666666667,0.334
linear,1,0.6,0.7638333333333334,0.7638333333333334,0.7641666666666667,0.33758333333333335
linear,1,0.8,0.7655,0.7655,0.7626666666666667,0.33491666666666664
linear,1,1.0,0.7745,0.7745,0.7718333333333334,0.334
linear,1,1.2,0.7816666666666666,0.7816666666666666,0.7795,0.33025
linear,1,1.4,0.7868333333333334,0.7868333333333334,0.785,0.32866666666666666
linear,1,1.6,0.7956666666666666,0.7956666666666666,0.7955,0.33916666666666667
linear,1,1.8,0.7933333333333333,0.7933333333333333,0.7925,0.3345
linear,1,2.0,0.8016666666666666,0.8016666666666666,0.8005,0.33466666666666667
linear,10,0.0,0.7441666666666666,0.7441666666666666,0.7445,0.34041666666666665
linear,10,0.2,0.7468333333333333,0.7468333333333333,0.747,0.3294166666666667
linear,10,0.4,0.7553333333333333,0.7553333333333333,0.7561666666666667,0.33458333333333334
linear,10,0.6,0.7686666666666667,0.7686666666666667,0.7688333333333334,0.33616666666666667
linear,10,0.8,0.7696666666666667,0.7696666666666667,0.7691666666666667,0.33741666666666664
linear,10,1.0,0.7661666666666667,0.7661666666666667,0.7653333333333333,0.33841666666666664
linear,10,1.2,0.7821666666666667,0.7821666666666667,0.7801666666666667,0.33808333333333335
linear,10,1.4,0.7943333333333333,0.7943333333333333,0.793,0.332
linear,10,1.6,0.7891666666666667,0.7891666666666667,0.789,0.3299166666666667
linear,10,1.8,0.7928333333333333,0.7928333333333333,0.7938333333333333,0.3319166666666667
linear,10,2.0,0.8026666666666666,0.8026666666666666,0.8021666666666667,0.3358333333333333
linear,11,0.0,0.7235,0.7235,0.7221666666666666,0.33275
linear,11,0.2,0.7351666666666666,0.7351666666666666,0.7326666666666667,0.3335
linear,11,0.4,0.7453333333333333,0.7453333333333333,0.7458333333333333,0.32958333333333334
linear,11,0.6,0.7501666666666666,0.7501666666666666,0.749,0.33625
linear,11,0.8,0.7591666666666667,0.7591666666666667,0.7581666666666667,0.33175
linear,11,1.0,0.7776666666666666,0.7776666666666666,0.7766666666666666,0.33708333333333335
linear,11,1.2,0.7671666666666667,0.7671666666666667,0.767,0.3385
linear,11,1.4,0.7826666666666666,0.7826666666666666,0.7806666666666666,0.33375
linear,11,1.6,0.7883333333333333,0.7883333333333333,0.7886666666666666,0.33591666666666664
linear,11,1.8,0.7881666666666667,0.7881666666666667,0.7875,0.33766666666666667
linear,11,2.0,0.7898333333333334,0.7898333333333334,0.7893333333333333,0.3373333333333333
linear,12,0.0,0.7293333333333333,0.7251666666666666,0.7246666666666667,0.33758333333333335
linear,12,0.2,0.7321666666666666,0.7321666666666666,0.732,0.34458333333333335
linear,12,0.4,0.7521666666666667,0.7521666666666667,0.7515,0.33441666666666664
linear,12,0.6,0.7458333333333333,0.7458333333333333,0.7446666666666667,0.3323333333333333
linear,12,0.8,0.7671666666666667,0.7671666666666667,0.767,0.3378333333333333
linear,12,1.0,0.7725,0.7725,0.771,0.33158333333333334
linear,12,1.2,0.7738333333333334,0.7738333333333334,0.7736666666666666,0.33691666666666664
linear,12,1.4,0.7856666666666666,0.7856666666666666,0.786,0.333
linear,12,1.6,0.779,0.779,0.7798333333333334,0.33441666666666664
linear,12,1.8,0.7948333333333333,0.7948333333333333,0.7946666666666666,0.33616666666666667
linear,12,2.0,0.7995,0.7995,0.7996666666666666,0.33775
linear,13,0.0,0.7293333333333333,0.7286666666666667,0.7301666666666666,0.32558333333333334
linear,13,0.2,0.7443333333333333,0.7443333333333333,0.7451666666666666,0.32608333333333334
linear,13,0.4,0.7491666666666666,0.7491666666666666,0.75,0.32966666666666666
linear,13,0.6,0.7515,0.7515,0.7508333333333334,0.33591666666666664
linear,13,0.8,0.7651666666666667,0.7651666666666667,0.766,0.33075
linear,13,1.0,0.7758333333333334,0.7758333333333334,0.7741666666666667,0.3353333333333333
linear,13,1.2,0.7776666666666666,0.7776666666666666,0.7776666666666666,0.33825
linear,13,1.4,0.7783333333333333,0.7783333333333333,0.78,0.33575
linear,13,1.6,0.7868333333333334,0.7868333333333334,0.7871666666666667,0.3338333333333333
linear,13,1.8,0.7861666666666667,0.7861666666666667,0.787,0.33725
linear,13,2.0,0.7955,0.7955,0.796,0.3383333333333333
linear,14,0.0,0.7316666666666667,0.7328333333333333,0.7363333333333333,0.33266666666666667
linear,14,0.2,0.7343333333333333,0.7343333333333333,0.7348333333333333,0.33075
linear,14,0.4,0.7411666666666666,0.7411666666666666,0.7408333333333333,0.32716666666666666
linear,14,0.6,0.7506666666666667,0.7506666666666667,0.7511666666666666,0.33666666666666667
linear,14,0.8,0.7611666666666667,0.7611666666666667,0.76,0.3348333333333333
linear,14,1.0,0.7686666666666667,0.7686666666666667,0.7681666666666667,0.33116666666666666
linear,14,1.2,0.7738333333333334,0.7738333333333334,0.7723333333333333,0.334
linear,14,1.4,0.7825,0.7825,0.7808333333333334,0.3308333333333333
linear,14,1.6,0.788,0.788,0.7871666666666667,0.3314166666666667
linear,14,1.8,0.8005,0.8005,0.7995,0.33066666666666666
linear,14,2.0,0.8035,0.8035,0.8038333333333333,0.3299166666666667
linear,15,0.0,0.7333333333333333,0.7333333333333333,0.73,0.3333333333333333
linear,15,0.2,0.7423333333333333,0.7423333333333333,0.7375,0.34008333333333335
linear,15,0.4,0.744,0.744,0.7441666666666666,0.33316666666666667
linear,15,0.6,0.7628333333333334,0.7628333333333334,0.7631666666666667,0.3308333333333333
linear,15,0.8,0.7606666666666667,0.7606666666666667,0.7605,0.33625
linear,15,1.0,0.772,0.772,0.7716666666666666,0.33208333333333334
linear,15,1.2,0.7821666666666667,0.7821666666666667,0.783,0.33225
linear,15,1.4,0.7858333333333334,0.7858333333333334,0.7875,0.325
linear,15,1.6,0.7938333333333333,0.7938333333333333,0.7931666666666667,0.33008333333333334
linear,15,1.8,0.7955,0.7955,0.7951666666666667,0.32758333333333334
linear,15,2.0,0.7915,0.7915,0.7911666666666667,0.33158333333333334
linear,16,0.0,0.7523333333333333,0.7463333333333333,0.7468333333333333,0.334
linear,16,0.2,0.7393333333333333,0.7393333333333333,0.7393333333333333,0.3343333333333333
linear,16,0.4,0.7553333333333333,0.7553333333333333,0.7546666666666667,0.33008333333333334
linear,16,0.6,0.7575,0.7575,0.7528333333333334,0.33275
linear,16,0.8,0.7596666666666667,0.7596666666666667,0.7593333333333333,0.33466666666666667
linear,16,1.0,0.7756666666666666,0.7756666666666666,0.7765,0.33725
linear,16,1.2,0.7785,0.7785,0.7791666666666667,0.32925
linear,16,1.4,0.7861666666666667,0.7861666666666667,0.787,0.335
linear,16,1.6,0.7831666666666667,0.7831666666666667,0.7841666666666667,0.3335
linear,16,1.8,0.7913333333333333,0.7913333333333333,0.7905,0.33308333333333334
linear,16,2.0,0.7968333333333333,0.7968333333333333,0.797,0.3323333333333333
linear,17,0.0,0.73,0.73,0.731,0.3323333333333333
linear,17,0.2,0.739,0.739,0.7391666666666666,0.3355
linear,17,0.4,0.7475,0.7475,0.7476666666666667,0.3323333333333333
linear,17,0.6,0.7523333333333333,0.7523333333333333,0.7526666666666667,0.33616666666666667
linear,17,0.8,0.7603333333333333,0.7603333333333333,0.7605,0.33016666666666666
linear,17,1.0,0.77,0.77,0.7701666666666667,0.33541666666666664
linear,17,1.2,0.7775,0.7775,0.778,0.32925
linear,17,1.4,0.7865,0.7865,0.7875,0.32858333333333334
linear,17,1.6,0.789,0.789,0.7878333333333334,0.33216666666666667
linear,17,1.8,0.7926666666666666,0.7926666666666666,0.7926666666666666,0.339
linear,17,2.0,0.7948333333333333,0.7948333333333333,0.795,0.3298333333333333
linear,18,0.0,0.7298333333333333,0.7251666666666666,0.7266666666666667,0.3324166666666667
linear,18,0.2,0.744,0.744,0.7446666666666667,0.33466666666666667
linear,18,0.4,0.7561666666666667,0.7561666666666667,0.7555,0.33558333333333334
linear,18,0.6,0.7581666666666667,0.7581666666666667,0.7608333333333334,0.33225
linear,18,0.8,0.767,0.767,0.7611666666666667,0.33516666666666667
linear,18,1.0,0.78,0.78,0.7798333333333334,0.33316666666666667
linear,18,1.2,0.7766666666666666,0.7766666666666666,0.7773333333333333,0.33225
linear,18,1.4,0.7786666666666666,0.7786666666666666,0.7785,0.33016666666666666
linear,18,1.6,0.8,0.8,0.7991666666666667,0.33408333333333334
linear,18,1.8,0.7958333333333333,0.7958333333333333,0.7963333333333333,0.33858333333333335
linear,18,2.0,0.7961666666666667,0.7961666666666667,0.7973333333333333,0.33541666666666664
linear,19,0.0,0.7311666666666666,0.7311666666666666,0.7315,0.3313333333333333
linear,19,0.2,0.7353333333333333,0.7353333333333333,0.7355,0.33266666666666667
linear,19,0.4,0.7433333333333333,0.7433333333333333,0.742,0.326
linear,19,0.6,0.7448333333333333,0.7448333333333333,0.7448333333333333,0.31883333333333336
linear,19,0.8,0.761,0.761,0.7616666666666667,0.32916666666666666
linear,19,1.0,0.7696666666666667,0.7696666666666667,0.7691666666666667,0.33175
linear,19,1.2,0.7688333333333334,0.7688333333333334,0.7695,0.326
linear,19,1.4,0.7841666666666667,0.7841666666666667,0.7845,0.32616666666666666
linear,19,1.6,0.7783333333333333,0.7783333333333333,0.7776666666666666,0.32675
linear,19,1.8,0.7801666666666667,0.7801666666666667,0.7801666666666667,0.3313333333333333
linear,19,2.0,0.7915,0.7915,0.7916666666666666,0.31866666666666665
linear,2,0.0,0.7345,0.7345,0.7345,0.3253333333333333
linear,2,0.2,0.7446666666666667,0.7446666666666667,0.746,0.3284166666666667
linear,2,0.4,0.7578333333333334,0.7578333333333334,0.7558333333333334,0.334
linear,2,0.6,0.7611666666666667,0.7611666666666667,0.7628333333333334,0.33375
linear,2,0.8,0.7763333333333333,0.7763333333333333,0.7758333333333334,0.32766666666666666
linear,2,1.0,0.7826666666666666,0.7826666666666666,0.7833333333333333,0.325
linear,2,1.2,0.7836666666666666,0.7836666666666666,0.7838333333333334,0.33258333333333334
linear,2,1.4,0.7968333333333333,0.7968333333333333,0.7961666666666667,0.3313333333333333
linear,2,1.6,0.8008333333333333,0.8008333333333333,0.8003333333333333,0.3275
linear,2,1.8,0.7956666666666666,0.7956666666666666,0.7951666666666667,0.33075
linear,2,2.0,0.802,0.802,0.8015,0.33491666666666664
linear,20,0.0,0.7343333333333333,0.729,0.7321666666666666,0.33475
linear,20,0.2,0.7353333333333333,0.7353333333333333,0.7366666666666667,0.33316666666666667
linear,20,0.4,0.7628333333333334,0.7628333333333334,0.7625,0.3408333333333333
linear,20,0.6,0.7503333333333333,0.7503333333333333,0.7461666666666666,0.33275
linear,20,0.8,0.7603333333333333,0.7603333333333333,0.7621666666666667,0.3304166666666667
linear,20,1.0,0.7693333333333333,0.7693333333333333,0.7701666666666667,0.3279166666666667
linear,20,1.2,0.7765,0.7765,0.7761666666666667,0.33316666666666667
linear,20,1.4,0.782,0.782,0.7818333333333334,0.32825
linear,20,1.6,0.7853333333333333,0.7853333333333333,0.7851666666666667,0.33466666666666667
linear,20,1.8,0.7938333333333333,0.7938333333333333,0.7946666666666666,0.33266666666666667
linear,20,2.0,0.7961666666666667,0.7961666666666667,0.7951666666666667,0.33158333333333334
