generator,seed,w_conf,level,delta_auc
linear,1,0.0,L0_null,0.008872712275896422
linear,1,0.0,L1_redundant,0.0
linear,1,0.0,a025,0.06466993668471271
linear,1,0.0,a045,0.11302728852734228
linear,1,0.0,a070,0.16294016223412805
linear,1,0.0,a100,0.20061456542780493
linear,1,0.0,a150,0.22968050931355238
linear,1,0.0,a200,0.251392677776796
linear,1,0.0,a300,0.2657683906511053
linear,1,0.2,L0_null,0.0007476709751876864
linear,1,0.2,L1_redundant,0.0
linear,1,0.2,a025,0.024777115373815328
linear,1,0.2,a045,0.07183333324900798
linear,1,0.2,a070,0.11526440306991603
linear,1,0.2,a100,0.15164047436061556
linear,1,0.2,a150,0.18913204393082428
linear,1,0.2,a200,0.2024039310468002
linear,1,0.2,a300,0.2139716444106694
linear,1,0.4,L0_null,-0.0010224887959109363
linear,1,0.4,L1_redundant,0.0
linear,1,0.4,a025,0.02141801253478859
linear,1,0.4,a045,0.05297085187583239
linear,1,0.4,a070,0.09502351603811043
linear,1,0.4,a100,0.11974045402482725
linear,1,0.4,a150,0.14944643763458476
linear,1,0.4,a200,0.18055980897148516
linear,1,0.4,a300,0.19374093367493628
linear,1,0.6,L0_null,-0.0017837108725636819
linear,1,0.6,L1_redundant,0.0
linear,1,0.6,a025,0.018570495292325906
linear,1,0.6,a045,0.04386458927115611
linear,1,0.6,a070,0.08270437629204164
linear,1,0.6,a100,0.10110783511469612
linear,1,0.6,a150,0.13209944660919137
linear,1,0.6,a200,0.15216425828255298
linear,1,0.6,a300,0.159704634843173
linear,1,0.8,L0_null,-0.001084690345588224
linear,1,0.8,L1_redundant,0.0
linear,1,0.8,a025,0.016483286744673364
linear,1,0.8,a045,0.027088426757783557
linear,1,0.8,a070,0.0686097066836544
linear,1,0.8,a100,0.09309346622126613
linear,1,0.8,a150,0.11191843847526006
linear,1,0.8,a200,0.1346298485614762
linear,1,0.8,a300,0.14013985834184972
linear,1,1.0,L0_null,-0.0012307892223851757
linear,1,1.0,L1_redundant,0.0
linear,1,1.0,a025,0.005756598302145588
linear,1,1.0,a045,0.026553261882502177
linear,1,1.0,a070,0.04779997756624843
linear,1,1.0,a100,0.07563948710835444
linear,1,1.0,a150,0.10053982466621025
linear,1,1.0,a200,0.10704210735050879
linear,1,1.0,a300,0.12367325391050821
linear,1,1.2,L0_null,-0.0007788488632636259
linear,1,1.2,L1_redundant,0.0
linear,1,1.2,a025,0.007176271360110564
linear,1,1.2,a045,0.02332986676002391
linear,1,1.2,a070,0.03329787650828575
linear,1,1.2,a100,0.054251014230111694
linear,1,1.2,a150,0.07816258471590254
linear,1,1.2,a200,0.0912898139000129
linear,1,1.2,a300,0.10292175372277812
linear,1,1.4,L0_null,0.000165290686496955
linear,1,1.4,L1_redundant,0.0
linear,1,1.4,a025,0.008071527976953652
linear,1,1.4,a045,0.020488896742356433
linear,1,1.4,a070,0.03481964942572768
linear,1,1.4,a100,0.04506679411690573
linear,1,1.4,a150,0.07007572646071891
linear,1,1.4,a200,0.0804231993379344
linear,1,1.4,a300,0.0836896342548521
linear,1,1.6,L0_null,-0.0007587696443104308
linear,1,1.6,L1_redundant,0.0
linear,1,1.6,a025,0.0025450095681945895
linear,1,1.6,a045,0.011382682155585688
linear,1,1.6,a070,0.03522575592907673
linear,1,1.6,a100,0.054063616834410744
linear,1,1.6,a150,0.06724069093221285
linear,1,1.6,a200,0.07579121025369706
linear,1,1.6,a300,0.08339192464855627
linear,1,1.8,L0_null,-0.0005647803921942085
linear,1,1.8,L1_redundant,0.0
linear,1,1.8,a025,0.0032616832891969594
linear,1,1.8,a045,0.01261401180110533
linear,1,1.8,a070,0.026080160459850177
linear,1,1.8,a100,0.04301207796705553
linear,1,1.8,a150,0.053919629644992306
linear,1,1.8,a200,0.06696511342584399
linear,1,1.8,a300,0.07250572089241414
linear,1,2.0,L0_null,-0.0013084991749946484
linear,1,2.0,L1_redundant,0.0
linear,1,2.0,a025,0.005180478063718352
linear,1,2.0,a045,0.01214696746406907
linear,1,2.0,a070,0.024081245571332843
linear,1,2.0,a100,0.0409334456091357
linear,1,2.0,a150,0.0537274219040319
linear,1,2.0,a200,0.0636262288665923
linear,1,2.0,a300,0.07060959237814013
linear,10,0.0,L0_null,0.005854694783186676
linear,10,0.0,L1_redundant,0.0
linear,10,0.0,a025,0.06949730881121974
linear,10,0.0,a045,0.11180326317538725
linear,10,0.0,a070,0.16441146465910572
linear,10,0.0,a100,0.2017335651301535
linear,10,0.0,a150,0.23451906092026653
linear,10,0.0,a200,0.25563825078371183
linear,10,0.0,a300,0.27226776635947336
linear,10,0.2,L0_null,-0.003643331773230729
linear,10,0.2,L1_redundant,0.0
linear,10,0.2,a025,0.04753825659294808
linear,10,0.2,a045,0.07753867564962624
linear,10,0.2,a070,0.13266368833492637
linear,10,0.2,a100,0.1743407683076018
linear,10,0.2,a150,0.20093067186902824
linear,10,0.2,a200,0.21743039746263693
linear,10,0.2,a300,0.22766547816134086
linear,10,0.4,L0_null,-0.0013449127559557184
linear,10,0.4,L1_redundant,0.0
linear,10,0.4,a025,0.02832921679547451
linear,10,0.4,a045,0.06124783682575097
linear,10,0.4,a070,0.11284812365548569
linear,10,0.4,a100,0.15382257987411363
linear,10,0.4,a150,0.17790327463947087
linear,10,0.4,a200,0.195995219504422
linear,10,0.4,a300,0.21403668233606876
linear,10,0.6,L0_null,0.00014814873620927482
linear,10,0.6,L1_redundant,0.0
linear,10,0.6,a025,0.022325131032243317
linear,10,0.6,a045,0.04629731236168666
linear,10,0.6,a070,0.08005793806409678
linear,10,0.6,a100,0.12103982230346577
linear,10,0.6,a150,0.1435969719269028
linear,10,0.6,a200,0.1638898915569178
linear,10,0.6,a300,0.176780240108511
linear,10,0.8,L0_null,-0.0011868278870139637
linear,10,0.8,L1_redundant,0.0
linear,10,0.8,a025,0.010335424158924744
linear,10,0.8,a045,0.04370136006820202
linear,10,0.8,a070,0.0668527606070457
linear,10,0.8,a100,0.10225741849366521
linear,10,0.8,a150,0.1200724425119607
linear,10,0.8,a200,0.13086734491285723
linear,10,0.8,a300,0.14808132853122902
linear,10,1.0,L0_null,0.0013364160630363608
linear,10,1.0,L1_redundant,0.0
linear,10,1.0,a025,0.011041366038661127
linear,10,1.0,a045,0.02957623463836989
linear,10,1.0,a070,0.06029580858482997
linear,10,1.0,a100,0.08470595909847034
linear,10,1.0,a150,0.10233517899714806
linear,10,1.0,a200,0.11829369136387058
linear,10,1.0,a300,0.1276062393909323
linear,10,1.2,L0_null,-0.0005616457988086854
linear,10,1.2,L1_redundant,0.0
linear,10,1.2,a025,0.008374981581247387
linear,10,1.2,a045,0.02410875945411861
linear,10,1.2,a070,0.037032163683669794
linear,10,1.2,a100,0.06149718722939579
linear,10,1.2,a150,0.07865879689717181
linear,10,1.2,a200,0.08795219299219459
linear,10,1.2,a300,0.09898389040388034
linear,10,1.4,L0_null,-0.0006255026589305768
linear,10,1.4,L1_redundant,0.0
linear,10,1.4,a025,0.010475536955939058
linear,10,1.4,a045,0.019718379111975715
linear,10,1.4,a070,0.035782721503808346
linear,10,1.4,a100,0.05490735326072549
linear,10,1.4,a150,0.07228339457540023
linear,10,1.4,a200,0.08968939855582514
linear,10,1.4,a300,0.09422784609791979
linear,10,1.6,L0_null,-0.0012337243766867845
linear,10,1.6,L1_redundant,0.0
linear,10,1.6,a025,0.009013467300154177
linear,10,1.6,a045,0.020807771936447783
linear,10,1.6,a070,0.03888490895289798
linear,10,1.6,a100,0.05420028555134293
linear,10,1.6,a150,0.0738595517125048
linear,10,1.6,a200,0.08551755678897321
linear,10,1.6,a300,0.09003062849408827
linear,10,1.8,L0_null,-0.0006052444544195623
linear,10,1.8,L1_redundant,0.0
linear,10,1.8,a025,0.005526004064888679
linear,10,1.8,a045,0.008803725732241086
linear,10,1.8,a070,0.02919001483809036
linear,10,1.8,a100,0.034741829698624604
linear,10,1.8,a150,0.05356974525866909
linear,10,1.8,a200,0.06146747465679114
linear,10,1.8,a300,0.06922206012543797
linear,10,2.0,L0_null,0.0005411379462902932
linear,10,2.0,L1_redundant,0.0
linear,10,2.0,a025,0.007040872791862829
linear,10,2.0,a045,0.014014681208638247
linear,10,2.0,a070,0.029634537785867554
linear,10,2.0,a100,0.04590540642721175
linear,10,2.0,a150,0.05873908335728206
linear,10,2.0,a200,0.06707976379661129
linear,10,2.0,a300,0.07264477704040051
linear,11,0.0,L0_null,0.0002453784600451314
linear,11,0.0,L1_redundant,0.0
linear,11,0.0,a025,0.06959377706470371
linear,11,0.0,a045,0.12372416710101197
linear,11,0.0,a070,0.16486509588427378
linear,11,0.0,a100,0.19448564106166588
linear,11,0.0,a150,0.23478100893531284
linear,11,0.0,a200,0.24612933287025007
linear,11,0.0,a300,0.26100211678835705
linear,11,0.2,L0_null,-0.0017722132974959948
linear,11,0.2,L1_redundant,0.0
linear,11,0.2,a025,0.04597976930200731
linear,11,0.2,a045,0.08588293725843288
linear,11,0.2,a070,0.14049669933462594
linear,11,0.2,a100,0.1774144103920402
linear,11,0.2,a150,0.2116508716317811
linear,11,0.2,a200,0.2279698942531191
linear,11,0.2,a300,0.24333043588758496
linear,11,0.4,L0_null,-0.00010543992214728792
linear,11,0.4,L1_redundant,0.0
linear,11,0.4,a025,0.031055761050912567
linear,11,0.4,a045,0.05764341280136964
linear,11,0.4,a070,0.09853817548684785
linear,11,0.4,a100,0.12481654503006956
linear,11,0.4,a150,0.161247396257426
linear,11,0.4,a200,0.18465271312106002
linear,11,0.4,a300,0.193811417365659
linear,11,0.6,L0_null,-0.0012569528797765628
linear,11,0.6,L1_redundant,0.0
linear,11,0.6,a025,0.01827135673672242
linear,11,0.6,a045,0.03791126093098551
linear,11,0.6,a070,0.08216969518861761
linear,11,0.6,a100,0.11387108243403721
linear,11,0.6,a150,0.14522990027794835
linear,11,0.6,a200,0.15428772196414864
linear,11,0.6,a300,0.17046918290400725
linear,11,0.8,L0_null,-0.0002921607913752844
linear,11,0.8,L1_redundant,0.0
linear,11,0.8,a025,0.012648200115471853
linear,11,0.8,a045,0.043702903058811526
linear,11,0.8,a070,0.06244358810251627
linear,11,0.8,a100,0.09038012729756484
linear,11,0.8,a150,0.11630175162205192
linear,11,0.8,a200,0.13058804134908164
linear,11,0.8,a300,0.14386917363003926
linear,11,1.0,L0_null,0.002037438370572797
linear,11,1.0,L1_redundant,0.0
linear,11,1.0,a025,0.015188154060446712
linear,11,1.0,a045,0.03008569500020819
linear,11,1.0,a070,0.05290593612225436
linear,11,1.0,a100,0.0792704238785561
linear,11,1.0,a150,0.09773549574331697
linear,11,1.0,a200,0.1054944507242106
linear,11,1.0,a300,0.12063037245677322
linear,11,1.2,L0_null,-0.0018510115424167362
linear,11,1.2,L1_redundant,0.0
