dataset,seed,n_fast_features,n_held_features,delta_auc,gain_vs_B3_pp,fast_error_rate
adult,1,3,3,0.09537293971354521,2.937864673968682,0.2516122428088852
adult,2,3,3,0.04121122670534694,0.15354693417954923,0.19920155594226635
adult,3,3,3,0.060972450816709656,1.8630361347118374,0.24669874091513974
adult,4,3,3,0.09714753618936589,2.8969188248541333,0.2370764663732214
adult,5,3,3,0.14855680683398176,2.7536083529532185,0.1800593714812161
adult,6,3,3,-0.01414027823400299,-0.7063158972259176,0.21506807247415294
adult,7,3,3,-0.016099694090786043,-1.0543556146995647,0.19602825263588905
adult,8,3,3,0.022720249002488146,0.5220595762104652,0.21680827106152115
adult,9,3,3,0.04882846087000359,0.15354693417954923,0.20002047292455727
adult,10,3,3,0.044997326504307655,0.8291534445695636,0.23605282014535778
bank-marketing,1,3,4,0.18255290075877695,2.25588853256663,0.11777065133252239
bank-marketing,2,3,4,0.1448290089615787,1.3712263629326538,0.12164104832467101
bank-marketing,3,3,4,-0.02120902562907634,-1.1832356518854392,0.10936636072099967
bank-marketing,4,3,4,-0.007256116888620268,-0.46444763905784114,0.11489549928121198
bank-marketing,5,3,4,0.1657582085111582,1.7582660621475177,0.11179918168749309
bank-marketing,6,3,4,0.1353885330882909,1.238527037487569,0.1192082273581776
bank-marketing,7,3,4,-0.01688406728814329,-0.7077297357071854,0.1130155921707398
bank-marketing,8,3,4,-0.007720505792127019,-0.23222381952892057,0.10339489107597036
bank-marketing,9,3,4,0.15218928576543544,1.5923919053411506,0.1158907442220502
bank-marketing,10,3,4,0.17943226393825806,2.6208116775406465,0.11953997567179034
electricity,1,3,4,-0.1647865266214389,-5.42866600463422,0.2554341829416308
electricity,2,3,4,-0.07101665463465079,-3.1005185920776834,0.3576078561182831
electricity,3,3,4,-0.07290381881072161,-2.1074699326933732,0.23711795211298686
electricity,4,3,4,-0.10475064486570818,-3.343263819927178,0.3582698885578727
electricity,5,3,4,-0.051245424683619034,-1.555776233035422,0.24395895398874545
electricity,6,3,4,-0.06029571631696551,-2.1516054286660036,0.369745117510758
electricity,7,3,4,-0.05085638173310825,-1.3571665011585576,0.3535253227408143
electricity,8,3,4,-0.07793167358308961,-2.570892640406053,0.24848284232594064
electricity,9,3,4,-0.05233186646867083,-1.7985214608849165,0.3538563389606091
electricity,10,3,4,-0.06576788515621812,-0.7613373055279649,0.33752620545073375
MagicTelescope,1,5,5,-0.03663768663768685,-1.8927444794952675,0.21398527865404837
MagicTelescope,2,5,5,-0.0570214104698229,-2.8916929547844417,0.23317560462670872
MagicTelescope,3,5,5,-0.004389238338156409,-1.051524710830709,0.268664563617245
MagicTelescope,4,5,5,0.0026859008601423096,-0.4206098843322903,0.28286014721345953
MagicTelescope,5,5,5,-0.04923563602677283,-2.1293375394321745,0.2699789695057834
MagicTelescope,6,5,5,0.02589327172938094,-0.2628811777076745,0.3146687697160883
MagicTelescope,7,5,5,0.019913226435691822,0.6309148264984299,0.2999474237644585
MagicTelescope,8,5,5,0.00830509712790839,0.1577287066246047,0.2733964248159832
MagicTelescope,9,5,5,0.0063904932437588435,0.2628811777076745,0.27681388012618297
MagicTelescope,10,5,5,-0.05449508379301993,-2.970557308096744,0.20557308096740273
