generator,seed,w_conf,level,learner,budget,gain_vs_B1_pp,gain_vs_B3_pp,acc_B1,acc_B3
linear,1,0.0,L0_null,logreg,0.05,0.18333333333332424,0.11666666666666492,0.6871666666666667,0.6843333333333333
linear,1,0.0,L0_null,logreg,0.1,-0.1666666666666594,-0.18333333333333535,0.7058333333333333,0.7025
linear,1,0.0,L0_null,logreg,0.15,-0.216666666666665,-0.5666666666666709,0.7235,0.7216666666666667
linear,1,0.0,L0_null,logreg,0.2,-0.14999999999999458,-0.8166666666666655,0.7403333333333333,0.7386666666666667
linear,1,0.0,L0_null,logreg,0.25,-0.216666666666665,-0.33333333333332993,0.7565,0.752
linear,1,0.0,L0_null,logreg,0.3,-0.10000000000000009,-0.06666666666667043,0.7708333333333334,0.7668333333333334
linear,1,0.0,L0_null,logreg,0.4,-0.13333333333334085,0.01666666666666483,0.802,0.7995
linear,1,0.0,L0_null,gbm,0.05,-0.033333333333340764,0.11666666666666492,0.6871666666666667,0.6843333333333333
linear,1,0.0,L0_null,gbm,0.1,-0.10000000000000009,0.13333333333332975,0.7058333333333333,0.7025
linear,1,0.0,L0_null,gbm,0.15,-0.18333333333333535,0.06666666666667043,0.7235,0.7216666666666667
linear,1,0.0,L0_null,gbm,0.2,-0.3166666666666651,-0.13333333333334085,0.7403333333333333,0.7386666666666667
linear,1,0.0,L0_null,gbm,0.25,-0.3666666666666596,0.0,0.7565,0.752
linear,1,0.0,L0_null,gbm,0.3,-0.15000000000000568,0.20000000000000018,0.7708333333333334,0.7668333333333334
linear,1,0.0,L0_null,gbm,0.4,0.11666666666666492,0.08333333333333526,0.802,0.7995
linear,1,0.0,L0_null,mlp,0.05,-0.01666666666666483,0.18333333333333535,0.6871666666666667,0.6843333333333333
linear,1,0.0,L0_null,mlp,0.1,-0.13333333333332975,0.216666666666665,0.7058333333333333,0.7025
linear,1,0.0,L0_null,mlp,0.15,-0.2500000000000058,-0.15000000000000568,0.7235,0.7216666666666667
linear,1,0.0,L0_null,mlp,0.2,-0.3166666666666651,-0.06666666666667043,0.7403333333333333,0.7386666666666667
linear,1,0.0,L0_null,mlp,0.25,-0.34999999999999476,0.4833333333333356,0.7565,0.752
linear,1,0.0,L0_null,mlp,0.3,-0.033333333333340764,0.5000000000000004,0.7708333333333334,0.7668333333333334
linear,1,0.0,L0_null,mlp,0.4,-0.06666666666667043,0.28333333333333544,0.802,0.7995
linear,1,0.0,L1_redundant,logreg,0.05,0.0,0.14999999999999458,0.6871666666666667,0.6843333333333333
linear,1,0.0,L1_redundant,logreg,0.1,0.0,-0.050000000000005596,0.7058333333333333,0.7025
linear,1,0.0,L1_redundant,logreg,0.15,0.0,-0.6000000000000005,0.7235,0.7216666666666667
linear,1,0.0,L1_redundant,logreg,0.2,0.0,-0.8000000000000007,0.7403333333333333,0.7386666666666667
linear,1,0.0,L1_redundant,logreg,0.25,0.0,-0.3666666666666707,0.7565,0.752
linear,1,0.0,L1_redundant,logreg,0.3,0.0,-0.15000000000000568,0.7708333333333334,0.7668333333333334
linear,1,0.0,L1_redundant,logreg,0.4,0.0,0.10000000000000009,0.802,0.7995
linear,1,0.0,L1_redundant,gbm,0.05,0.03333333333332966,0.0,0.6871666666666667,0.6843333333333333
linear,1,0.0,L1_redundant,gbm,0.1,-0.3166666666666651,0.0,0.7058333333333333,0.7025
linear,1,0.0,L1_redundant,gbm,0.15,-0.4833333333333356,0.0,0.7235,0.7216666666666667
linear,1,0.0,L1_redundant,gbm,0.2,-0.34999999999999476,0.0,0.7403333333333333,0.7386666666666667
